target,fold,rows,blocks,model_rmse,rms_jackknife_se,rms_jackknife_se_to_model_rmse,observed_variance,mean_reference_variance,approximate_reliability,observed_r2,optimistic_error_adjusted_r2,diagnostic_reduced_chi2
canopy_surface_cv,4,3532,103,0.09455280812912505,0.07391785373984118,0.7817626488564575,0.04006614528482328,0.005463849101504554,0.8636292794661679,0.7768631481379462,0.89953312909695,3.375410811055776
canopy_surface_rcv,0,2648,57,0.3325538338044738,0.49460816929541457,1.4873025628272298,0.38595003006803474,0.24463724113376145,0.3661427074104978,0.7134549973773585,1.0,7.174301331605448
canopy_surface_rcv,1,5018,68,0.24261236795427235,0.25747660788837584,1.0612674450995223,0.19562779288662727,0.06629420360970445,0.6611207301810939,0.6991186159397557,1.0,15.900410328964405
canopy_surface_rcv,2,2927,59,0.31085657763550567,0.2840765778791846,0.9138509470829924,0.2975530012127935,0.08069950209954843,0.7287894870136544,0.6752450438563938,0.9265296164237102,13.44055122150604
canopy_surface_rcv,3,3191,63,0.40665153379415586,0.3738736891017684,0.9193957431155801,0.4527175405095215,0.13978153540256577,0.6912389671377757,0.6347270535375655,0.9182454747390617,10.206799499937052
canopy_surface_rcv,4,3532,103,0.3290081957243075,0.47208920337820093,1.434885846350734,0.31511507614432765,0.22286821594626435,0.2927402310507441,0.6564861504621071,1.0,6.928500269044877
canopy_surface_sd_m,0,2648,57,0.7544104169369885,0.3761261132203495,0.4985696177784421,2.371723989103211,0.14147085304624718,0.940351046877196,0.7600331742656782,0.8082440879814683,8.776175838693325
canopy_surface_sd_m,1,5018,68,0.85740200026921,0.41651094248914605,0.48578256448943263,2.321736247900465,0.17348136521319674,0.9252794690309568,0.6833670531136238,0.7385520547962796,9.425623406695912
canopy_surface_sd_m,2,2927,59,0.9945468098419111,0.39088093995193385,0.39302417551775826,2.305201704275259,0.1527879092177073,0.9337203729572363,0.570916785662495,0.6114429996362976,11.806076061714009
canopy_surface_sd_m,3,3191,63,1.0181447212048542,0.3836623136017692,0.3768249302984649,2.6109944156216316,0.1471967708782623,0.9436242490609781,0.6029793602333271,0.6390036721008024,13.78107170053168
canopy_surface_sd_m,4,3532,103,0.9315738153875098,0.39859016821803567,0.4278675094063617,2.383642215619734,0.15887412220008196,0.9333481672882793,0.6359228042577643,0.6813350328906249,8.613639680634027
