cohort,target,budget,method,sites,site_folds,rmse_median,rmse_mean,r2_median,r2_mean,unit_spearman_median,unit_spearman_mean,block_spearman_median,block_spearman_mean,centred_rmse_median,bias_mean
all_site_folds_to_100,ahn4_height_sd_m,2,target_reference_mean,20,100,1.3521870488392043,1.424298993910886,-0.2230550488014171,-0.6346075847652843,,,,,1.1535027173261383,-0.01606289348695901
all_site_folds_to_100,ahn4_height_sd_m,5,source_offset,20,100,1.1173870741478868,1.1333622999362425,0.054367342572949,-0.02878475580178674,0.4600568276028661,0.45248167968230885,0.5485699841109346,0.4900431668267664,1.0296764526212852,-0.056084962502683605
all_site_folds_to_100,ahn4_height_sd_m,5,source_plus_target_ridge,20,100,1.144071904720403,1.2441820689830723,0.0077892588301348,-0.3857829255625772,0.4572456299589772,0.4515161237902877,0.5358554488989272,0.48532400448809393,1.024878011028278,-0.04841893876794368
all_site_folds_to_100,ahn4_height_sd_m,5,target_only_ridge,20,100,1.2281288300812288,1.2649766426477467,-0.10793660754666375,-0.24010047954615849,0.2242119884138569,0.21417400072024925,0.28562717770034846,0.24389006187068957,1.1343489041435224,-0.05672613699552293
all_site_folds_to_100,ahn4_height_sd_m,5,target_reference_mean,20,100,1.2350530823682866,1.2886064051310755,-0.11104638973870926,-0.2718911679270218,,,,,1.1535027173261383,-0.06685100255106119
all_site_folds_to_100,ahn4_height_sd_m,10,source_offset,20,100,1.0854641361382233,1.0934248034393588,0.0916155336028518,0.05640753656690698,0.4600568276028661,0.45248167968230885,0.5485699841109346,0.4900431668267664,1.0296764526212852,-0.012600541293634103
all_site_folds_to_100,ahn4_height_sd_m,10,source_plus_target_ridge,20,100,1.1398475534014278,1.2406433841709013,0.01045100243293295,-0.37450431676703544,0.45778874304681383,0.45205202469214145,0.5358554488989272,0.4856456302576935,1.0254376406217043,-0.04697592877047769
all_site_folds_to_100,ahn4_height_sd_m,10,target_only_ridge,20,100,1.1640523823432645,1.1763194597419806,-0.0108319242776165,-0.0677730107494311,0.31688846840967366,0.30040648156697997,0.38984489428440594,0.3492747092254526,1.1054889198743867,-0.028246290572666196
all_site_folds_to_100,ahn4_height_sd_m,10,target_reference_mean,20,100,1.2124613643365323,1.2432574192745791,-0.06823584055574661,-0.16447518679762,,,,,1.1535027173261383,-0.02840664537046578
all_site_folds_to_100,ahn4_height_sd_m,25,source_offset,20,100,1.0656972868045567,1.0706515468501479,0.1324909534657561,0.0995804288903448,0.4600568276028661,0.45248167968230885,0.5485699841109346,0.4900431668267664,1.0296764526212852,-0.011166950628951794
all_site_folds_to_100,ahn4_height_sd_m,25,source_plus_target_ridge,20,100,1.1352934671797505,1.230577815417548,0.01920198356096655,-0.34308330800412196,0.46198017293467275,0.4535843257295958,0.5385878489326764,0.48672885411004596,1.026010798698328,-0.04340356352567545
all_site_folds_to_100,ahn4_height_sd_m,25,target_only_ridge,20,100,1.0816230161203735,1.0702284444595005,0.14539857463242664,0.1130312584440803,0.44421454064307575,0.4199596230942321,0.5426291637844526,0.4786856976840318,1.0327983076333709,-0.012661162424043111
all_site_folds_to_100,ahn4_height_sd_m,25,target_reference_mean,20,100,1.1940670984718298,1.216101736441136,-0.0461785980008717,-0.10416637250265122,,,,,1.1535027173261383,-0.01980011644933847
all_site_folds_to_100,ahn4_height_sd_m,50,source_offset,20,100,1.0607185162635218,1.0640600871532482,0.14739201220612846,0.11113368510976883,0.4600568276028661,0.45248167968230885,0.5485699841109346,0.4900431668267664,1.0296764526212852,-0.015805816440499797
all_site_folds_to_100,ahn4_height_sd_m,50,source_plus_target_ridge,20,100,1.1268852671014875,1.215854860865011,0.03216425331609765,-0.29846214177422176,0.4697349933113132,0.45595441269099213,0.539135194307608,0.48992684704061906,1.024135908283831,-0.03917841684069211
all_site_folds_to_100,ahn4_height_sd_m,50,target_only_ridge,20,100,1.025655577588629,1.013312884281977,0.23745304777008674,0.19775973533232805,0.49731328090631816,0.48397531136052957,0.6051326871126648,0.5419311416739698,0.9831228024603309,-0.02189034633376238
all_site_folds_to_100,ahn4_height_sd_m,50,target_reference_mean,20,100,1.185674778760366,1.210322103385374,-0.0366178713146637,-0.0929024667165538,,,,,1.1535027173261383,-0.023739418998700655
all_site_folds_to_100,ahn4_height_sd_m,100,source_offset,20,100,1.056726780293743,1.059754286067394,0.1506569648587979,0.1170212836898385,0.4600568276028661,0.45248167968230885,0.5485699841109346,0.4900431668267664,1.0296764526212852,0.020492748139454835
all_site_folds_to_100,ahn4_height_sd_m,100,source_plus_target_ridge,20,100,1.1084147989957203,1.190840601168975,0.0530320197880383,-0.2264293807178757,0.4737776242565542,0.4602788321225219,0.5492610837438424,0.49668205617780276,1.0236294746758774,-0.03182216098506311
all_site_folds_to_100,ahn4_height_sd_m,100,target_only_ridge,20,100,0.9882066246423542,0.9725573905518899,0.27751598575299424,0.25700262211729547,0.5385161962285657,0.5229398807510022,0.6494078718216649,0.5779696913172505,0.9491433444331513,-0.014070178054593768
all_site_folds_to_100,ahn4_height_sd_m,100,target_reference_mean,20,100,1.1841655235766941,1.2079803529926891,-0.03408803682253775,-0.09057021703682253,,,,,1.1535027173261383,0.005840491873281921
all_site_folds_to_100,ahn4_p95_height_m,0,source_mean,20,100,3.5707362006022123,3.9806255195861384,-0.477831621787452,-0.9659267139212213,,,,,2.908364611006748,0.0003745478750777309
all_site_folds_to_100,ahn4_p95_height_m,0,source_ridge,20,100,3.0405597391294146,3.229306643462664,0.03649742623206545,-0.35388002016888565,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.539379817410965,-0.11854973779045265
