scope,fold,target,target_variant,model,rows,rmse,mae,r2,bias,block_spearman
fold,2,ahn4_p95_height_m,raw,tessera_v2,112,3.138721977437892,2.3764640107157518,0.45838581142780366,-0.8690668949760666,0.30534663212164403
fold,2,ahn4_p95_height_m,raw,conventional,112,3.8841884941043623,2.822516688126628,0.17056008476416584,-0.33794184121236726,0.05647585172081763
fold,2,ahn4_p95_height_m,raw,fused_v1,112,3.2340056250535776,2.538544257238288,0.42500260362432984,-1.0506373085445515,0.3612245251709339
fold,2,ahn4_p95_height_m,raw,fused_v2,112,2.9718897952968137,2.2877952078217216,0.5144323581643289,-0.675393266184492,0.23425149608596577
fold,2,ahn4_height_sd_m,raw,tessera_v1,112,0.8531282539990238,0.6717560868651136,0.5143821369384645,0.010606565390428794,0.4363984754741058
fold,2,ahn4_height_sd_m,raw,tessera_v2,112,0.8437548773888015,0.6744959027781204,0.5249945465012287,0.011099874207036998,0.3681217947001996
fold,2,ahn4_height_sd_m,raw,conventional,112,1.1811185884449347,0.79562612524232,0.06920720667530744,0.11693592059322651,0.01076082735508771
fold,2,ahn4_height_sd_m,raw,fused_v1,112,0.898397973883512,0.6873478265354578,0.46147789993300925,-0.025850634722270695,0.24388153097365084
fold,2,ahn4_height_sd_m,raw,fused_v2,112,0.9043472935605514,0.696177283828328,0.4543219437458602,0.08462655737100729,0.3434415666253307
fold,2,ahn4_height_sd_m,height_adjusted,tessera_v1,112,0.5562205344155755,0.39324173999727674,0.12428324332765539,0.2259580542015882,0.5421504836266213
fold,2,ahn4_height_sd_m,height_adjusted,tessera_v2,112,0.5145910460085611,0.4028798009534247,0.2504612775229348,0.19400503721652643,0.581872678877594
fold,2,ahn4_height_sd_m,height_adjusted,conventional,112,0.7151521448517939,0.5318286101478922,-0.447659800823176,0.2052657766527004,0.24635428046399982
fold,2,ahn4_height_sd_m,height_adjusted,fused_v1,112,0.6198080067295096,0.49242554454458726,-0.0873866287178875,0.17490283975923748,0.43560765644165045
fold,2,ahn4_height_sd_m,height_adjusted,fused_v2,112,0.6273749100613742,0.5025818996535637,-0.11409933957286666,0.2271960650370585,0.5736033270677318
