variant,version,model_family,target,folds,n,blocks,rmse,r2,block_spearman,positive_r2_folds
raw,v1,fused,canopy_surface_cv,5,17316,350,0.09251797675252993,0.7982488918284723,0.9172824693970931,5
raw,v1,fused,canopy_surface_rcv,5,17316,350,0.3232667532262217,0.6803082544014951,0.8960374477120352,5
raw,v1,fused,canopy_surface_sd_m,5,17316,350,0.9222267205128872,0.6428143866986048,0.7992459927070019,5
raw,v1,tessera,canopy_height_kurtosis,5,17316,350,1.544919210193217,0.6043229379450722,0.8942852293070104,5
raw,v1,tessera,canopy_open_fraction,5,17316,350,0.056289661026355076,0.7538827831494641,0.9096174189347461,5
raw,v1,tessera,canopy_p95_height_m,5,17316,350,2.419924826638442,0.2665460992823492,0.569511123505672,5
raw,v1,tessera,canopy_rumple,5,17316,350,0.4712749012870572,0.5635552504896836,0.7538765635071887,5
raw,v1,tessera,canopy_surface_cv,5,17316,350,0.09787204699462902,0.7740631327378275,0.9118847582575125,5
raw,v1,tessera,canopy_surface_rcv,5,17316,350,0.33802926629318053,0.6479515586090889,0.8940247244658132,5
raw,v1,tessera,canopy_surface_sd_m,5,17316,350,0.9440696046027972,0.6242943580833636,0.7986083577026865,5
raw,v2,fused,canopy_height_kurtosis,5,17316,350,1.4928912885497665,0.6291607907390357,0.8910837309055782,5
raw,v2,fused,canopy_open_fraction,5,17316,350,0.049960816399669136,0.8049427749492392,0.9290752979197938,5
raw,v2,fused,canopy_p95_height_m,5,17316,350,2.2922763228211704,0.3384773435862499,0.6839286502367223,5
raw,v2,fused,canopy_rumple,5,17316,350,0.4620879727846763,0.5708914626811435,0.7760330088277607,5
raw,v2,fused,canopy_surface_cv,5,17316,350,0.08849688359079741,0.8137047951017081,0.9227042864402412,5
raw,v2,fused,canopy_surface_rcv,5,17316,350,0.3129645287231947,0.6981194285775639,0.9008519249997026,5
raw,v2,fused,canopy_surface_sd_m,5,17316,350,0.8956989413060029,0.6625892653675801,0.8224110134199046,5
raw,v2,tessera,canopy_height_kurtosis,5,17316,350,1.5302312010591648,0.6097984139960243,0.8931821413662533,5
raw,v2,tessera,canopy_open_fraction,5,17316,350,0.05244731850343315,0.7863581384837052,0.9360828809167995,5
raw,v2,tessera,canopy_p95_height_m,5,17316,350,2.3967767558371493,0.2756619538326408,0.6473293015177701,5
raw,v2,tessera,canopy_rumple,5,17316,350,0.45439031966316074,0.5859231327257877,0.7801587876515723,5
raw,v2,tessera,canopy_surface_cv,5,17316,350,0.09235662862378273,0.7983058268384298,0.931767139129016,5
raw,v2,tessera,canopy_surface_rcv,5,17316,350,0.32433650178254303,0.6758063722346361,0.9057379794087279,5
raw,v2,tessera,canopy_surface_sd_m,5,17316,350,0.9112155527280947,0.6506438355065777,0.8353135133673272,5
