target_site,forest_group,fold,target,reference_pool_rows,eligible_200,budget,replicate,method,reference_rows,reference_blocks,rmse,mae,r2,bias,unit_spearman,block_spearman,centred_rmse,test_rows,test_blocks
springendal_and_dal_van_de_mosbeek,broadleaf,1,ahn4_height_cv,210,True,0,0,source_ridge,0,0,0.0665824748321907,0.0495806936663263,-0.1972250445746257,-7.967276461419851e-05,0.270467113249112,0.3461538461538461,0.0665824271638538,117,13
springendal_and_dal_van_de_mosbeek,broadleaf,1,ahn4_entropy,210,True,0,0,source_ridge,0,0,0.1630062813813915,0.1178065454179845,-0.4603606686716255,-0.0494128703617258,0.268548906772168,0.0714285714285714,0.1553364606665307,117,13
springendal_and_dal_van_de_mosbeek,broadleaf,1,ahn4_pulse_penetration,210,True,0,0,source_ridge,0,0,0.0310476671566857,0.0238236297811067,0.2211139050876653,-0.0070855140010726,0.6519729053335132,0.6593406593406593,0.0302283497269193,117,13
springendal_and_dal_van_de_mosbeek,broadleaf,1,ahn4_sigma_z,210,True,0,0,source_ridge,0,0,0.711755029931917,0.555583976087489,-0.0754273740476674,0.2632894089611557,0.3595737984984039,0.456043956043956,0.6612668975249474,117,13
springendal_and_dal_van_de_mosbeek,broadleaf,2,ahn4_p95_height_m,218,True,0,0,source_ridge,0,0,3.1574401301577044,2.666731509033115,0.1950161562131566,1.303423459008339,0.482818942440079,0.6923076923076923,2.875850389369558,118,14
springendal_and_dal_van_de_mosbeek,broadleaf,2,ahn4_height_sd_m,218,True,0,0,source_ridge,0,0,0.913300337766103,0.729428443783441,0.1307109771610207,0.426148201867968,0.3830230918964717,0.7934065934065934,0.8077841401069814,118,14
springendal_and_dal_van_de_mosbeek,broadleaf,2,ahn4_height_cv,218,True,0,0,source_ridge,0,0,0.0791884611018714,0.0616227545031809,0.0488252280118155,0.0062026109409216,0.2761130527830428,0.4153846153846154,0.0789451707781937,118,14
springendal_and_dal_van_de_mosbeek,broadleaf,2,ahn4_entropy,218,True,0,0,source_ridge,0,0,0.1422805584525756,0.1121568613590185,0.4613172336167317,-0.0576978472338109,0.4750108648413733,0.7406593406593407,0.1300565866773405,118,14
springendal_and_dal_van_de_mosbeek,broadleaf,2,ahn4_pulse_penetration,218,True,0,0,source_ridge,0,0,0.0364395364411209,0.0302236450129422,0.3313407084880495,0.0032255581415061,0.5947980235118819,0.3054945054945055,0.0362964955707785,118,14
springendal_and_dal_van_de_mosbeek,broadleaf,2,ahn4_sigma_z,218,True,0,0,source_ridge,0,0,0.8762409155875871,0.7076905755972323,0.1453608414662194,0.4187841108627023,0.3853969227847593,0.8241758241758241,0.7696869562612509,118,14
springendal_and_dal_van_de_mosbeek,broadleaf,3,ahn4_p95_height_m,216,True,0,0,source_ridge,0,0,2.46824261026253,1.9915754671227104,0.1972256760121067,1.0498048188128957,0.597127751913517,0.8021978021978022,2.2338602072450304,115,13
springendal_and_dal_van_de_mosbeek,broadleaf,3,ahn4_height_sd_m,216,True,0,0,source_ridge,0,0,0.920126224308651,0.7602676103914763,0.0497785892381019,0.0208466367080266,0.376477550698335,0.6703296703296703,0.919890040384424,115,13
springendal_and_dal_van_de_mosbeek,broadleaf,3,ahn4_height_cv,216,True,0,0,source_ridge,0,0,0.0655124149974635,0.0496480150957289,-0.143960644347707,-0.0234261942786198,0.4163260475025645,0.5934065934065934,0.0611807971541744,115,13
springendal_and_dal_van_de_mosbeek,broadleaf,3,ahn4_entropy,216,True,0,0,source_ridge,0,0,0.1873801530400068,0.154371801667964,-0.070202903620969,-0.0827340334540646,0.4968989189615718,0.6098901098901099,0.1681261474658777,115,13
springendal_and_dal_van_de_mosbeek,broadleaf,3,ahn4_pulse_penetration,216,True,0,0,source_ridge,0,0,0.0394265609262837,0.0317365092036762,0.5101127089661049,-0.0003427250630832,0.6339146216365501,0.8901098901098902,0.0394250712872545,115,13
